Locality,Locality_details,YYYY,MM,DD,DNA_extract,lat,lon,H6_str,HUC_8,HUC_10,HU_10_NAME,HU_8_Name,img_url,geometry
Gualala River Wheatfield fork,Gualala River at jct of Skaggs Springs x Annapolis Rd.,1993,8,10,NA,38.665558,-123.313014,180101,18010109,1801010901,NA,Gualala-Salmon,NA,"c(-123.313014, 38.665558)"
Eel River,Richardson Grove State Park Humboldt,1992,7,20,NA,40.01786,-123.789647,180101,18010106,1801010603,NA,South Fork Eel,NA,"c(-123.789647, 40.01786)"
Bear Creek,trib to cache creek?,1993,9,17,NA,39.002445,-122.35478,180201,18020116,1802011605,NA,Upper Cache,NA,"c(-122.35478, 39.002445)"
Coyote Creek,upstream from Natural Bridge,NA,NA,NA,NA,38.05459976,-120.4764023,180400,18040010,1804001006,NA,Upper Stanislaus,NA,"c(-120.4764023, 38.05459976)"
Arroyo Leona Creek,NA,NA,NA,NA,NA,36.39509964,-120.5358963,180300,18030009,1803000906,NA,Upper Dry,NA,"c(-120.5358963, 36.39509964)"
S. Fork Yuba River,Grizzley Hill Rd between mouth of Spring Creek and Edwards Crossing,2002,8,22,NA,39.32983398,-120.9863358,180201,18020125,1802012507,NA,Upper Yuba,NA,"c(-120.9863358, 39.32983398)"
S. Fork Gualala River,unknown?,1993,8,8,240,38.70336706,-123.4209478,180101,18010109,1801010901,NA,Gualala-Salmon,NA,"c(-123.4209478, 38.70336706)"
Arroyo Mocho Creek,2.9 mi. S.E of jct Miner Rd x Del Valle Rd Alameda,2002,6,12,NA,37.60299482,-121.6691202,180500,18050004,1805000403,NA,San Francisco Bay,NA,"c(-121.6691202, 37.60299482)"
Spring Creek,from mouth at S. fork of Yuba River upstream approx 250 m,2002,8,22,NA,39.33233261,-120.9889984,180201,18020125,1802012507,NA,Upper Yuba,NA,"c(-120.9889984, 39.33233261)"
Shady Creek,0.25 mi. above Purdon Rd Crossing,2002,8,22,NA,39.35433197,-121.0589981,180201,18020125,1802012507,NA,Upper Yuba,NA,"c(-121.0589981, 39.35433197)"
Clear Creek,"Rd R001 3.4 mi. E. of Coalinga Rd, at ORV staging area 2",2002,8,3,NA,36.37111282,-120.7399979,180600,18060002,1806000205,NA,Pajaro,NA,"c(-120.7399979, 36.37111282)"
Spanish Creek,"tributary to E. Branch of NF Feather River, 0.5 mi. downstream from turn-off to Snake",2002,6,10,NA,39.9463667,-121.0325059,180201,18020122,1802012208,NA,East Branch North Fork Feather,NA,"c(-121.0325059, 39.9463667)"
Oregon Creek,"100-150 m. upstream of Log Cabin Reservoir, Middle Fork Yuba River drainage off Hwy 49",2002,5,31,NA,39.413694,-120.991229,180201,18020125,1802012505,NA,Upper Yuba,NA,"c(-120.991229, 39.413694)"
San Benito River,at Sawmill Creek confluence,2002,8,3,NA,36.34166718,-120.6580582,180600,18060002,1806000205,NA,Pajaro,NA,"c(-120.6580582, 36.34166718)"
Dutra Creek,0.33 mi. above jct/ w/ San Carpoforo Creek,2002,7,23,NA,35.80216599,-121.2931671,180600,18060006,1806000604,NA,Central Coastal,NA,"c(-121.2931671, 35.80216599)"
San Carpofora Creek,near San Carpofora Campground Monterey CA USA,2002,7,23,NA,35.79533386,-121.2786636,180600,18060006,1806000604,NA,Central Coastal,NA,"c(-121.2786636, 35.79533386)"
Little? Cow Creek,along Hwy 299 2.2 mi/rd S.W of turn-off to Oak Run Rd. Shasta,2002,7,1,NA,40.74250031,-122.0680008,180201,18020152,1802015203,NA,Cottonwood Creek,NA,"c(-122.0680008, 40.74250031)"
Rose Creek,Stanislaus NF,2002,9,30,NA,38.10419846,-120.3460007,180400,18040010,1804001006,NA,Upper Stanislaus,NA,"c(-120.3460007, 38.10419846)"
Jesus Maria Cr.,Calaveras Co.,2002,8,12,NA,38.26229858,-120.6035995,180400,18040011,1804001102,NA,Upper Calaveras California,NA,"c(-120.6035995, 38.26229858)"
Chetco River,1 mi. upriver from Loeb State Park off of N. Bank Chetco Rd,2001,7,16,NA,42.125,-124.187,171003,17100312,1710031201,Chetco River,Chetco,NA,"c(-124.187, 42.125)"
Mainstem Mattole River,near confluence of Big Flinky Creek,1993,9,11,386,40.08991982,-124.0002781,180101,18010107,1801010702,NA,Mattole,NA,"c(-124.0002781, 40.08991982)"
South Fork Trinity River,5.7 mi N on South Fork rd from junction with hwy 299,1993,9,2,NA,40.786192,-123.557467,180102,18010212,1801021205,NA,South Fork Trinity,NA,"c(-123.557467, 40.786192)"
Mainstream Smith River,near junction hwy 199 and south fork rd,1993,9,1,NA,41.8155288,-124.1003057,180101,18010101,1801010104,NA,Smith,NA,"c(-124.1003057, 41.8155288)"
Grizzly Peek,Grizzly Creek? Trib to MF Yuba?,1999,4,1,NA,39.381526,-121.014875,180201,18020125,1802012505,NA,Upper Yuba,NA,"c(-121.014875, 39.381526)"
West Fork Sulphur Creek,Cache Creek,1998,3,26,NA,39.056984,-122.464795,180201,18020116,1802011605,NA,Upper Cache,NA,"c(-122.464795, 39.056984)"
Sulphur Creek 2 mi down rd from Wilbur Creek,Cache Creek,1998,5,5,NA,39.046384,-122.445412,180201,18020116,1802011605,NA,Upper Cache,NA,"c(-122.445412, 39.046384)"
Thompson Canyon,Trib to Bear Creek in Cache Creek drainage,1998,4,4,367,38.973039,-122.343185,180201,18020116,1802011605,NA,Upper Cache,NA,"c(-122.343185, 38.973039)"
Davis Creek above Cache Creek,at confluence?,1998,4,4,NA,38.930574,-122.378164,180201,18020116,1802011606,NA,Upper Cache,NA,"c(-122.378164, 38.930574)"
Sulphur Creek 30m from Bear Creek,Cache Creek,1998,5,5,NA,39.040084,-122.408118,180201,18020116,1802011605,NA,Upper Cache,NA,"c(-122.408118, 39.040084)"
